,File,Folder
142,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\CLUB MANAGER JEREMY HINES.pdf,motel
143,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Give us feedback_@ survey.walmart.com.pdf,motel
144,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\HD Refund.pdf,motel
145,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Maid Service Invoice 111422.pdf,motel
146,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Maid Service Invoice 111722.pdf,motel
147,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Nov_Homedepot Motels.pdf,motel
148,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Scan Dec 5, 2022 at 7.36 AM.pdf",motel
149,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Scan Nov 30, 2022 at 2.27 PM(1).pdf",motel
150,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Scan Nov 30, 2022 at 2.27 PM(2).pdf",motel
151,"C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Scan Nov 30, 2022 at 2.27 PM.pdf",motel
152,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Xerox Scan_01032023143109.pdf,motel
153,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Xerox Scan_12062022124347.pdf,motel
154,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Xerox Scan_12092022125835.pdf,motel
155,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\Xerox Scan_12142022124951.pdf,motel
156,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\CC_Homedepot_Motel.pdf,motel
157,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\Crigslist_Invoice+payment.pdf,motel
158,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\How doers(1).pdf,motel
159,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\How doers.pdf,motel
160,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\Motel CC statments.pdf,motel
161,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\S_S Motel Oct_Saving Account.pdf,motel
162,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\Tunde Shodipo-Fax Reimbursement Form.xlsx,motel
163,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Oct\Urban Land Istitute_Motel.png,motel
